name,main_category,category,address,city,postal,country,phone,place_id,cid,url,search_term,hours,rating,reviews_count,lat,lng,dine_in,takeout,vegetarian,alcohol,beer,coffee,breakfast,lunch,dinner,wifi,restroom,casual,family_friendly,tourists,reservations,cash_only
Namaste Newa Fastfood,Restaurant,Restaurant,"MCHQ+5MC, 10 Nagarkot Rd, Bhaktapur 44800, Nepal",Bhaktapur,44800,NP,+977 984-1919633,ChIJJxlemN0F6zkR6mnSKJtTPUw,5493639046331787754,https://www.google.com/maps/search/?api=1&query=Namaste%20Newa%20Fastfood&query_place_id=ChIJJxlemN0F6zkR6mnSKJtTPUw,fast food,6 AM to 9 PM,3.6,122,27.6780133,85.4391407,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
Alfa home,Coffee shop,Coffee shop,"JCXX+CFM, Suryabinayak, Nepal",Suryabinayak,,NP,,ChIJVbDBQAAP6zkRcnnWgF29HAE,80147102676973938,https://www.google.com/maps/search/?api=1&query=Alfa%20home&query_place_id=ChIJVbDBQAAP6zkRcnnWgF29HAE,coffee shop,,5.0,2,27.6485793,85.448664,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
bhanye,Coffee shop,Coffee shop,"MCFW+X95, Bhaktapur 44800, Nepal",Bhaktapur,44800,NP,,ChIJNcv31a0F6zkRdR3c-gGNskY,5094289168152665461,https://www.google.com/maps/search/?api=1&query=bhanye&query_place_id=ChIJNcv31a0F6zkRdR3c-gGNskY,coffee shop,,5.0,1,27.6748627,85.4459376,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Chiya Daboo,Coffee shop,Coffee shop,"MCFQ+8QG, Bhaktapur 44800, Nepal",Bhaktapur,,NP,,ChIJ6UnePgAF6zkRQbCpCXJxpjk,4154132440898187329,https://www.google.com/maps/search/?api=1&query=Chiya%20Daboo&query_place_id=ChIJ6UnePgAF6zkRQbCpCXJxpjk,coffee shop,7 AM to 8 PM,5.0,1,27.673315,85.4394403,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sathiko Bakes & Cakes,Cafe,Cafe,"Milanchowk, Suryabinayak-10, Suryabinayak, Nepal",Suryabinayak,,NP,+977 984-3159285,ChIJrW28kYgP6zkR-wXbaGY36XQ,8424325490958599675,https://www.google.com/maps/search/?api=1&query=Sathiko%20Bakes%20%26%20Cakes&query_place_id=ChIJrW28kYgP6zkR-wXbaGY36XQ,cafe,6:30 AM to 8 PM,3.0,2,27.6555219,85.4603871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyasa Cafe,Cafe,Cafe,"MCGQ+JJ7, Bhaktapur 44800, Nepal",Bhaktapur,44800,NP,+977 984-0576480,ChIJM2V3EQAF6zkRtGvpHGmh5hA,1217838222078995380,https://www.google.com/maps/search/?api=1&query=Nyasa%20Cafe&query_place_id=ChIJM2V3EQAF6zkRtGvpHGmh5hA,cafe,6 AM to 9 PM,5.0,4,27.676534,85.43905,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Phaidhoka Khaja Ghar,Restaurant,Restaurant,"Bhaktapur Nala Rd, फैढोका 44800, Nepal",फैढोका,44800,NP,+977 1-5091719,ChIJUayanOsF6zkRAzq1ijeBSzc,3984420370889652739,https://www.google.com/maps/search/?api=1&query=Phaidhoka%20Khaja%20Ghar&query_place_id=ChIJUayanOsF6zkRAzq1ijeBSzc,restaurant or cafe,7 AM to 8:30 PM,4.7,27,27.668621,85.4662416,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
Jay Himalayan Family Resort Restro,Restaurant,Restaurant,"Nalinchowk, Nepal",Nalinchowk,,NP,+977 986-9388718,ChIJm2bpgfMP6zkR_nQRSN7PQBw,2035855585170257150,https://www.google.com/maps/search/?api=1&query=Jay%20Himalayan%20Family%20Resort%20Restro&query_place_id=ChIJm2bpgfMP6zkR_nQRSN7PQBw,restaurant,8 AM to 6 PM,3.9,18,27.6569466,85.455566,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0
Blunch Resort,Restaurant,Restaurant,"MC6X+C33, Suryabinayak, Nepal",Suryabinayak,,NP,+977 984-3169532,ChIJpfzrfysP6zkRZqEXKRgu_Rg,1800646107321573734,https://www.google.com/maps/search/?api=1&query=Blunch%20Resort&query_place_id=ChIJpfzrfysP6zkRZqEXKRgu_Rg,restaurant,,4.3,45,27.6609597,85.4481456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nakha Chhen Newari Restaurant,Restaurant,Restaurant,"kamalvinayak area, Bhaktapur 44800, Nepal",Bhaktapur,44800,NP,+977 986-0678395,ChIJR97hqrwF6zkRCOzA8zFv1m8,8058750843559668744,https://www.google.com/maps/search/?api=1&query=Nakha%20Chhen%20Newari%20Restaurant&query_place_id=ChIJR97hqrwF6zkRCOzA8zFv1m8,restaurant,,4.9,7,27.6831696,85.4539651,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
Bar 555777,Bar,Bar,"MC5X+2PC, Suryabinayak, Nepal",Suryabinayak,,NP,,ChIJHw3YCAAP6zkRpabBHvdriXA,8109131313174390437,https://www.google.com/maps/search/?api=1&query=Bar%20555777&query_place_id=ChIJHw3YCAAP6zkRpabBHvdriXA,bar,,0.0,0,27.6575716,85.4492298,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
हाइवे खाजा घर,Fast food restaurant,Fast food restaurant,"MC6W+G6G, Bhatey Dhikoor Bus Stop, वाचामरी भाते-ढिकूर, Araniko Highway, Bhaktapur, Nepal",Bhaktapur,,NP,,ChIJk2LBw8sP6zkRTk2m9hU8kKA,11569813507744877902,https://www.google.com/maps/search/?api=1&query=%E0%A4%B9%E0%A4%BE%E0%A4%87%E0%A4%B5%E0%A5%87%20%E0%A4%96%E0%A4%BE%E0%A4%9C%E0%A4%BE%20%E0%A4%98%E0%A4%B0&query_place_id=ChIJk2LBw8sP6zkRTk2m9hU8kKA,fast food,8 AM to 8:30 PM,1.0,1,27.6613064,85.4455643,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
black cherry cafe,Fast food restaurant,Fast food restaurant,"JCWV+23W, Suryabinayak, Nepal",Suryabinayak,,NP,,ChIJ0yJxZwAP6zkR9Ri_3r97hIg,9837123550090041589,https://www.google.com/maps/search/?api=1&query=black%20cherry%20cafe&query_place_id=ChIJ0yJxZwAP6zkR9Ri_3r97hIg,fast food,,5.0,1,27.6451028,85.4427153,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Fast Food,Restaurant,Restaurant,"JCXX+6X3, Suryabinayak, Nepal",Suryabinayak,,NP,,ChIJmbFakScP6zkRVbGJlwxyaZ8,11486837722992718165,https://www.google.com/maps/search/?api=1&query=Fast%20Food&query_place_id=ChIJmbFakScP6zkRVbGJlwxyaZ8,fast food,,0.0,0,27.6480052,85.4499348,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
Friendship cofee shop,Coffee shop,Coffee shop,"Bhaktapur 44800, Nepal",Bhaktapur,44800,NP,,ChIJLeyQEwAF6zkRaE3N3QoCIqo,12259363381350059368,https://www.google.com/maps/search/?api=1&query=Friendship%20cofee%20shop&query_place_id=ChIJLeyQEwAF6zkRaE3N3QoCIqo,coffee store,,0.0,0,27.6767411,85.4428571,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LA: WO: Station,Restaurant,Restaurant,"Ratopati,Chhaling-5, Bhaktapur 44600, Nepal",Bhaktapur,44600,NP,,ChIJsTtK0G4F6zkRZqrCj27WBH4,9080618519032408678,https://www.google.com/maps/search/?api=1&query=LA%3A%20WO%3A%20Station&query_place_id=ChIJsTtK0G4F6zkRZqrCj27WBH4,restaurant or cafe,7 AM to 8:30 PM,4.7,9,27.6797431,85.4429394,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0
Purushottam Newa Khaja Ghar Restro,Asian restaurant,Asian restaurant,"Nagarkot Rd, Bhaktapur 44800, Nepal",Bhaktapur,44800,NP,+977 984-1214224,ChIJcZo1FUwF6zkR2nNw7Ze-3BM,1431228341329884122,https://www.google.com/maps/search/?api=1&query=Purushottam%20Newa%20Khaja%20Ghar%20Restro&query_place_id=ChIJcZo1FUwF6zkR2nNw7Ze-3BM,restaurant or cafe,9 AM to 8 PM,4.0,108,27.6788682,85.4413761,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0
Chawo khaja Ghar And Tea Point,Fast food restaurant,Fast food restaurant,"MCPV+7F, Bhaktapur, Nepal",Bhaktapur,,NP,,ChIJFfzLWQAF6zkRnFjZWVn-rKw,12442599530230798492,https://www.google.com/maps/search/?api=1&query=Chawo%20khaja%20Ghar%20And%20Tea%20Point&query_place_id=ChIJFfzLWQAF6zkRnFjZWVn-rKw,restaurant or cafe,,4.5,2,27.6857468,85.4436662,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chyasha cafe,Cafe,Cafe,"Kamalbinayak, Bhaktapur 44800, Nepal",Bhaktapur,,NP,+977 984-1670642,ChIJs39W0ZYF6zkRlpifZ5a3faY,11996946838996359318,https://www.google.com/maps/search/?api=1&query=Chyasha%20cafe&query_place_id=ChIJs39W0ZYF6zkRlpifZ5a3faY,restaurant or cafe,7 AM to 9 PM,5.0,2,27.6763231,85.4398356,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Srisha's Dairy and Bakery,Cafe,Cafe,"Lancha falcha (Bhatkekyapati, Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,44800,NP,+977 976-7951122,ChIJC-CXqFUF6zkR2paglDA6OJI,10536235308559668954,https://www.google.com/maps/search/?api=1&query=Srisha's%20Dairy%20and%20Bakery&query_place_id=ChIJC-CXqFUF6zkR2paglDA6OJI,cafe,5:30 AM to 9 PM,4.5,2,27.6813731,85.4448577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vintuna Khaja ghar,Asian restaurant,Asian restaurant,"MCJV+8MR, Bhaktapur 44800, Nepal",Bhaktapur,,NP,,ChIJ8WH6MAAF6zkRFK6iYmVooeM,16402506102515871252,https://www.google.com/maps/search/?api=1&query=Vintuna%20Khaja%20ghar&query_place_id=ChIJ8WH6MAAF6zkRFK6iYmVooeM,restaurant or cafe,10 AM to 10 PM,0.0,0,27.6808625,85.4441406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maheshwor Khaja Pasal,Fast food restaurant,Fast food restaurant,"MCJV+HX2, Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,44800,NP,+977 976-7951122,ChIJSyDvo8kF6zkRTxvCTP3Jt5g,11004486304254794575,https://www.google.com/maps/search/?api=1&query=Maheshwor%20Khaja%20Pasal&query_place_id=ChIJSyDvo8kF6zkRTxvCTP3Jt5g,restaurant or cafe,5:30 AM to 9 PM,1.0,1,27.6813928,85.4448893,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Thakali Station,Asian restaurant,Asian restaurant,"Jagati-KamalBinayak Rd, Bhaktapur 44800, Nepal",Bhaktapur,44800,NP,+977 985-1356364,ChIJKfQQGAYF6zkRqGOVHC0Agjc,3999759612811502504,https://www.google.com/maps/search/?api=1&query=Thakali%20Station&query_place_id=ChIJKfQQGAYF6zkRqGOVHC0Agjc,restaurant,9 AM to 9:30 PM,3.6,99,27.6783117,85.4407716,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0
Dawa dai khaja ghar,Nepalese restaurant,Nepalese restaurant,"MCJV+PVR, Pipeline Road, Bhaktapur 44800, Nepal",Bhaktapur,44800,NP,,ChIJJwHnGaYF6zkRscL1QKI80ac,12092513142038708913,https://www.google.com/maps/search/?api=1&query=Dawa%20dai%20khaja%20ghar&query_place_id=ChIJJwHnGaYF6zkRscL1QKI80ac,restaurant,,0.0,0,27.6818508,85.4446401,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0
Lakhe Food Land,Fast food restaurant,Fast food restaurant,"nala road, Bhaktapur 44800, Nepal",Bhaktapur,,NP,+977 985-1096854,ChIJ56_1yLgF6zkRbEGmg9e207Y,13174074371731767660,https://www.google.com/maps/search/?api=1&query=Lakhe%20Food%20Land&query_place_id=ChIJ56_1yLgF6zkRbEGmg9e207Y,fast food,9 AM to 5 PM,0.0,0,27.6748528,85.4456897,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
Easy Fast Food,Coffee shop,Coffee shop,"MFJ3+WHF, Mahamanjushree Nagarkot, Nepal",Mahamanjushree Nagarkot,,NP,+977 984-8747759,ChIJ08UCUFkF6zkRgpy64gclrDY,3939564489841220738,https://www.google.com/maps/search/?api=1&query=Easy%20Fast%20Food&query_place_id=ChIJ08UCUFkF6zkRgpy64gclrDY,coffee shop,,4.4,7,27.6829462,85.4532658,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
Bhaktapur,Cafe,Cafe,"MCGR+6WV, Bhaktapur 44800, Nepal",Bhaktapur,,NP,+977 984-7778653,ChIJyVtzdAAF6zkR1pDfIiDQxl4,6829374721396543702,https://www.google.com/maps/search/?api=1&query=Bhaktapur&query_place_id=ChIJyVtzdAAF6zkR1pDfIiDQxl4,cafe,7 AM to 2 AM,0.0,0,27.675625,85.4422873,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
SHANDAR MO:MO,Restaurant,Restaurant,"Kamalbinayak, BATYAKAPATI, Nepal",BATYAKAPATI,,NP,+977 984-3783520,ChIJ6ejBOaoF6zkRNCjAOk47-6o,12320506412781283380,https://www.google.com/maps/search/?api=1&query=SHANDAR%20MO%3AMO&query_place_id=ChIJ6ejBOaoF6zkRNCjAOk47-6o,cafe,,0.0,0,27.6758611,85.448792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ram caafe,Restaurant,Restaurant,"MCFX+7MW, Bhaktapur, Nepal",Bhaktapur,,NP,,ChIJY2tUCwAF6zkRupqiDp2OffY,17761509310625651386,https://www.google.com/maps/search/?api=1&query=Ram%20caafe&query_place_id=ChIJY2tUCwAF6zkRupqiDp2OffY,cafe,,0.0,0,27.6732467,85.4492083,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Shreya Newari Khaja Ghar,Family restaurant,Family restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,,NP,+977 984-1432725,ChIJc4-cEQAF6zkRS9Zn3XoSe1I,5943364452155381323,https://www.google.com/maps/search/?api=1&query=Shreya%20Newari%20Khaja%20Ghar&query_place_id=ChIJc4-cEQAF6zkRS9Zn3XoSe1I,cafe,12:30 to 9 PM,3.0,1,27.674057,85.4421886,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pond Station Hotel,Restaurant,Restaurant,"Kamalbinayak, Bhaktapur 44800, Nepal",Bhaktapur,44800,NP,+977 981-6615907,ChIJfdmTUiMF6zkRRj7J9dxXszI,3653360329255632454,https://www.google.com/maps/search/?api=1&query=Pond%20Station%20Hotel&query_place_id=ChIJfdmTUiMF6zkRRj7J9dxXszI,cafe,,0.0,0,27.6752537,85.4481499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Point Restro,Restaurant,Restaurant,"CHYAMASINGH, NALA ROAD, Bhaktapur 44800, Nepal",Bhaktapur,44800,NP,,ChIJpyNwPPAF6zkRJ_qYLDPS8xw,2086242169636059687,https://www.google.com/maps/search/?api=1&query=Food%20Point%20Restro&query_place_id=ChIJpyNwPPAF6zkRJ_qYLDPS8xw,cafe,7:30 AM to 8:30 PM,0.0,0,27.6749704,85.4451027,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhakta,Fast food restaurant,Fast food restaurant,"MCFW+WC3, Bhaktapur 44800, Nepal",Bhaktapur,,NP,+977 981-4760548,ChIJtX0OUwAF6zkRA1A7SGtdMRw,2031507622275534851,https://www.google.com/maps/search/?api=1&query=Bhakta&query_place_id=ChIJtX0OUwAF6zkRA1A7SGtdMRw,cafe,5:30 to 8 AM,0.0,0,27.6747541,85.4460334,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sandesh Computer,Internet cafe,Internet cafe,"MCGV+W6G, Bhaktapur 44800, Nepal",Bhaktapur,44800,NP,,ChIJ69wCJgAF6zkRX2_rY6EGsKM,11794934714319204191,https://www.google.com/maps/search/?api=1&query=Sandesh%20Computer&query_place_id=ChIJ69wCJgAF6zkRX2_rY6EGsKM,cafe,,0.0,0,27.6773638,85.443104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunil khaja ghar,Restaurant,Restaurant,"MC8G+5C3, Suryabinayak 44800, Nepal",Suryabinayak,44800,NP,,ChIJSWFgcAAF6zkRt5iLarkXTbA,12703836209005959351,https://www.google.com/maps/search/?api=1&query=Sunil%20khaja%20ghar&query_place_id=ChIJSWFgcAAF6zkRt5iLarkXTbA,cafe,,0.0,0,27.6752491,85.4434855,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Lets Celebrate Family Resturant,Restaurant,Restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,44800,NP,+977 986-1368052,ChIJxWg_KvYF6zkRH_psWsH9RU0,5568135521201093151,https://www.google.com/maps/search/?api=1&query=Lets%20Celebrate%20Family%20Resturant&query_place_id=ChIJxWg_KvYF6zkRH_psWsH9RU0,cafe,,0.0,0,27.67378,85.4421313,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Pratik's Cafe,Cafe,Cafe,"MFQ3+332, Nagarkot Road, Changunarayan, Nepal",Changunarayan,,NP,+977 1-6611882,ChIJLT5ktjgF6zkRBpRoBjXD5iA,2370796886365344774,https://www.google.com/maps/search/?api=1&query=Pratik's%20Cafe&query_place_id=ChIJLT5ktjgF6zkRBpRoBjXD5iA,coffee shop,"12 to 7 AM, 10 AM to 12 AM",3.2,14,27.687648,85.4526503,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0
Himal shrestha,Bar,Bar,"MCGW+6X3, Kamalbinayak, Bhaktapur 44800, Nepal",Bhaktapur,,NP,,ChIJPeHjGwAF6zkRQzL-Vsmym7I,12870076937958994499,https://www.google.com/maps/search/?api=1&query=Himal%20shrestha&query_place_id=ChIJPeHjGwAF6zkRQzL-Vsmym7I,restaurant,,0.0,0,27.6755069,85.4474094,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
Hff,Bar,Bar,"Kamalbinayak, Mahamanjushree Nagarkot, Nepal",Mahamanjushree Nagarkot,,NP,,ChIJ92TtOQAF6zkRMvnpWmTtOpU,10753168075578276146,https://www.google.com/maps/search/?api=1&query=Hff&query_place_id=ChIJ92TtOQAF6zkRMvnpWmTtOpU,restaurant,,0.0,0,27.6758611,85.448792,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
Chhusyaki Traders,Bar,Bar,"MCGR+V8Q, Bhaktapur 44800, Nepal",Bhaktapur,44800,NP,+977 985-1059590,ChIJWbjfsk0F6zkR5VraqmC90lg,6400386243327843045,https://www.google.com/maps/search/?api=1&query=Chhusyaki%20Traders&query_place_id=ChIJWbjfsk0F6zkR5VraqmC90lg,bar,8 AM to 6:40 PM,3.6,21,27.6772092,85.4408656,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
Shiva ram house,Bar,Bar,"MCFQ+RXR, Bhaktapur 44800, Nepal",Bhaktapur,,NP,,ChIJv_bUAgAF6zkRjPICtBduTJk,11046325034116379276,https://www.google.com/maps/search/?api=1&query=Shiva%20ram%20house&query_place_id=ChIJv_bUAgAF6zkRjPICtBduTJk,bar,,0.0,0,27.6746056,85.4399017,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Bansbari Kitchen,Barbecue restaurant,Barbecue restaurant,"MFP5+JJF, Mahamanjushree Nagarkot, Nepal",Mahamanjushree Nagarkot,,NP,,ChIJjfIMaQAF6zkRkAL30ZlvtBk,1852228053199422096,https://www.google.com/maps/search/?api=1&query=Bansbari%20Kitchen&query_place_id=ChIJjfIMaQAF6zkRkAL30ZlvtBk,barbecue restaurant,,0.0,0,27.6865656,85.4590553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maligaun high Cafe,Coffee shop,Coffee shop,"JCQR+XMC, Suryabinayak, Nepal",Suryabinayak,,NP,,ChIJwXff7EIP6zkR-ztBJwyeiXM,8325359161206455291,https://www.google.com/maps/search/?api=1&query=Maligaun%20high%20Cafe&query_place_id=ChIJwXff7EIP6zkR-ztBJwyeiXM,coffee shop,,4.5,2,27.6399236,85.4416878,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0
Camper 01,Restaurant,Restaurant,"Mahamanjushree Nagarkot, Nepal",Mahamanjushree Nagarkot,,NP,+977 974-5708159,ChIJ3RSXn6QF6zkRraMATLgeAYo,9944263229108691885,https://www.google.com/maps/search/?api=1&query=Camper%2001&query_place_id=ChIJ3RSXn6QF6zkRraMATLgeAYo,restaurant or cafe,,3.6,8,27.6862685,85.4514109,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0
Chusky's,Restaurant,Restaurant,"JCRP+X5G, Suryabinayak, Nepal",Suryabinayak,,NP,,ChIJhfMBJAAR6zkR7jirr02PnOc,16689371882950703342,https://www.google.com/maps/search/?api=1&query=Chusky's&query_place_id=ChIJhfMBJAAR6zkR7jirr02PnOc,cafe,,5.0,4,27.6423538,85.4354595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samir khaja gar,Cafe,Cafe,"JCWV+23W, Suryabinayak, Nepal",Suryabinayak,,NP,,ChIJca_aAvAP6zkRAS9_Vs48A4M,9440456100810796801,https://www.google.com/maps/search/?api=1&query=Samir%20khaja%20gar&query_place_id=ChIJca_aAvAP6zkRAS9_Vs48A4M,cafe,4 AM to 10:45 PM,0.0,0,27.6451027,85.4427153,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
Purushottam khaja ghar,Restaurant,Restaurant,"MCVX+6X2 challing gudi ratopati, Changunarayan 5, Nepal",Changunarayan,5,NP,,ChIJ4ybpYgAF6zkRJxzA2qubv6s,12375781463449148455,https://www.google.com/maps/search/?api=1&query=Purushottam%20khaja%20ghar&query_place_id=ChIJ4ybpYgAF6zkRJxzA2qubv6s,cafe,,0.0,0,27.6930004,85.4498839,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Balram khaja ghar,Fast food restaurant,Fast food restaurant,"JCRP+2WJ, Doleshor Path, Suryabinayak, Nepal",Suryabinayak,,NP,,ChIJS6VcFwAR6zkR57cXgBeT3nE,8205157300258191335,https://www.google.com/maps/search/?api=1&query=Balram%20khaja%20ghar&query_place_id=ChIJS6VcFwAR6zkR57cXgBeT3nE,restaurant or cafe,,5.0,2,27.6400904,85.4372728,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
