name,main_category,category,categoryName,address,street,neighborhood,city,state,postal,country,lat,lng,phone,phoneUnformatted,website,placeId,place_id,rank,rating,reviews_count,weekly_hours,hours,permanentlyClosed,temporarilyClosed,price,imageUrl,dine_in,takeout,delivery,breakfast,lunch,dinner,vegetarian,coffee,alcohol,beer,wifi,casual,family_friendly,tourists,cash_only,wheelchair_accessible_entrance
Swayambhu Star Banquet Pvt. Ltd.,Banquet hall,Banquet hall,Banquet hall,"Kathmandu 44600, Nepal",,Swayambhu,Kathmandu,,44600,NP,27.7169391,85.2839702,+977 1-5672287,+97715672287,http://www.swayambhustarbanquet.com.np/,ChIJR0vTBPMY6zkRRiY1vDb1Dbk,ChIJR0vTBPMY6zkRRiY1vDb1Dbk,16,3.9,0,10.0,8 AM to 6 PM,False,False,,https://lh3.googleusercontent.com/p/AF1QipPArudKGrOm_eK6yKBjUlmdjiSHzY_Ou86nX-Af=w427-h240-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfresco Garden,Banquet hall,Banquet hall,Banquet hall,"P79M+HHW, Kathmandu 44600, Nepal",P79M+HHW,Ichangunarayan,Kathmandu,,44600,NP,27.7189963,85.2839658,,,,ChIJCU_X9JAY6zkRKW0_T8PSuhI,ChIJCU_X9JAY6zkRKW0_T8PSuhI,7,4.0,0,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerQb6agnDJhRjfMDMb4zdSuzAte2WsAZQrtAc63Xr04ZUN21-xzj8635-NsflExsaF0MDYL4XbY2FpZRFQbjOXXd8OeLUwv-AwcCEAbhaBVwMt3ciRtsxjK_YDyjNXrWNENrfje=w426-h240-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durbar Banquet,Banquet hall,Banquet hall,Banquet hall,"Ganeshman Singh Rd, Kathmandu 44600, Nepal",Ganeshman Singh Rd,Kuleshwor,Kathmandu,,44600,NP,27.695658,85.2930706,+977 1-5378758,+97715378758,http://durbarbanquet.com.np/,ChIJbY6Yf10Y6zkRpt9WzX6ohQM,ChIJbY6Yf10Y6zkRpt9WzX6ohQM,18,3.9,0,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqYQ4d3ql3TkrIrq7RgAB2-io3fX1j6udkzuhR86x_yEMYALMfyiHySHL5QnJttVKCHeN4gN1i6Tto8s1wz98jOps9m3ft2Sl5aI21WBtV-SChnpFddHmmjePUAGFjstGKHKrY=w408-h306-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mega Event Venue,Banquet hall,Banquet hall,Banquet hall,"Ring Rd, Kathmandu 44600, Nepal",Ring Rd,Syuchatar,Kathmandu,,,NP,27.6997092,85.2809624,+977 984-1782341,+9779841782341,,ChIJwxw5ZKUZ6zkRL8gJjC_9Gok,ChIJwxw5ZKUZ6zkRL8gJjC_9Gok,13,3.9,0,14.0,8 AM to 10 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerXsRq7pHHsayVwWWli1UCHJJsqtwI3l4BF54ZHAci30IeBvu3jePGStPL4fkbP371gnzT3PPVpI9h6VTPrELtKSTnqXjwVw0yahvopJ0enr6BouCUhG7zPi8fwnEomcrhgeVrm=w408-h306-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kwality Durbar,Banquet hall,Banquet hall,Banquet hall,"15 Swotantra Marg, Kathmandu 44600, Nepal",15 Swotantra Marg,Sitapaila,Kathmandu,,44600,NP,27.7143708,85.2818474,+977 985-1067979,+9779851067979,https://kwalitydurbar.com/,ChIJi0GZXAAZ6zkRfMp_uf9dBLg,ChIJi0GZXAAZ6zkRfMp_uf9dBLg,3,4.7,0,15.0,7 AM to 10 PM,False,False,,https://lh3.googleusercontent.com/p/AF1QipOjicot_AtC-WgfHqFvF2x1DW_1tm_ZsiQmF_ZQ=w426-h240-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maya's venue Restaurant & Bar,Banquet hall,Banquet hall,Banquet hall,"M7VP+P9C, lampati, Kathmandu 44600, Nepal","M7VP+P9C, lampati",Kuleshwor,Kathmandu,,44600,NP,27.6943159,85.285898,+977 985-1056292,+9779851056292,,ChIJl3q2BVcZ6zkRI0ycXIqidxQ,ChIJl3q2BVcZ6zkRI0ycXIqidxQ,11,4.3,0,10.0,10 AM to 8 PM,False,False,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FdBNy1jee_VrH1I51un6nA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=157.24663&pitch=0&thumbfov=100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diamond Banquet & Events,Banquet hall,Banquet hall,Banquet hall,"P72P+6J4, Bafal Marg, Kathmandu 44600, Nepal","P72P+6J4, Bafal Marg",Kalimati,Kathmandu,,44600,NP,27.7005158,85.2865648,,,,ChIJDconwwsZ6zkRE6SOG1gWlE8,ChIJDconwwsZ6zkRE6SOG1gWlE8,6,3.9,0,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwert8efApOFTahKhm5_35kUnPv_VnT-JqL0AeEgYqMecYRWgqrFimSXroud627DX3y09tewBuxY5ya-Ldd6HazARLmtkux2Ny3Lka5Leab4TjlB99Ez2RRBr9rF_yWFJtS2fmKHTbE9cBx9l=w408-h544-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divine Banquet,Banquet hall,Banquet hall,Banquet hall,"Divine Complex, Ganeshman Singh Rd, Kathmandu 44600, Nepal","Divine Complex, Ganeshman Singh Rd",Kuleshwor,Kathmandu,,44600,NP,27.6981552,85.3004462,+977 1-4281057,+97714281057,,ChIJMfTE0lsY6zkRHJEJPWOPpp8,ChIJMfTE0lsY6zkRHJEJPWOPpp8,10,3.6,0,9.0,10 AM to 7 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep_rkaaIQ2ywMtcCu3qQA76wii730YbwpiX8DAw8zrmsHb9AmF7C4B4DWml0OfwltPfDdSTf5ClzlkmQ-xtTAKEOYx5XAqtcZXD5tXL272BjWiiUvyjWX6AEtGJlevizu6nATKU=w426-h240-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mega Banquet,Banquet hall,Banquet hall,Banquet hall,"M7VP+QWJ, गणेशमान सिंह पथ, Kathmandu 44614, Nepal","M7VP+QWJ, गणेशमान सिंह पथ",Kalanki,Kathmandu,,44614,NP,27.6944524,85.2872632,+977 1-5234456,+97715234456,,ChIJAWZe22UY6zkRy4JLVrdj93A,ChIJAWZe22UY6zkRy4JLVrdj93A,4,3.7,0,13.0,9 AM to 10 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweotuytvHnhbc4vhwoQKMtZ7HSuSnI0ELao8BhbAJK-pj1yu0gdQQd6ZlQh3zOVKIY0G0VJJTXu7BAse9K_ROEhWN4WbyKbfgmvSb3w6F1fODY9HTlKMNKS8Vc4zqXl6qsuUNJYn=w408-h306-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUS Reception and Events,Banquet hall,Banquet hall,Banquet hall,"T. B. Hospital Marg, Kathmandu 44600, Nepal",T. B. Hospital Marg,Kalimati,Kathmandu,,44600,NP,27.6986512,85.2980411,+977 985-1038988,+9779851038988,http://www.dusreception.com/,ChIJF2lEF2kZ6zkRz43u_CTwoNI,ChIJF2lEF2kZ6zkRz43u_CTwoNI,3,4.4,0,15.0,7 AM to 10 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweooUYGM6ibOIEGxD_vEUSI06d6qTYtbOS3le0Ry1kYRH-QuYmoFEuFOZ4DInFWZYPbusOYGpSBHQL6HuaA21rLZHfmp8BlmHu2NoiZ-6eY08GAb4BDgZ1pLFTuQnX-zmHxSg8rxOIeJhvo=w408-h306-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raniban Party Palace,Banquet hall,Banquet hall,Banquet hall,"P7PP+G2X, Raniban Rd, Nagarjun 44600, Nepal","P7PP+G2X, Raniban Rd",Balaju,Nagarjun,,44600,NP,27.7376302,85.2887203,+977 984-1689211,+9779841689211,,ChIJ4zZoOB8Z6zkRJ159nMxZH2c,ChIJ4zZoOB8Z6zkRJ159nMxZH2c,17,3.9,0,15.0,9 AM to 12 AM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweptXn2vGh0h-R6cAaL9fsAf07BuhgM-oKA54LsL3qBdqyb9LZ7g3BmTWvBNH89gOLlPU2-l890wPzaJ_Ee24QcjE0gGOWQj8dI8VwL733s0qQrOMQsL4mxw_t3cXTBccMcIdgQ=w426-h240-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWOYAMBHU BANQUET,Banquet hall,Banquet hall,Banquet hall,"P77V+4X6, अमर चित्रकर मार्ग, Kathmandu 44600, Nepal","P77V+4X6, अमर चित्रकर मार्ग",Dallu,Kathmandu,,44600,NP,27.7127955,85.2948852,+977 984-1316630,+9779841316630,,ChIJr5eKG_MY6zkRbsBktrwGz0Q,ChIJr5eKG_MY6zkRbsBktrwGz0Q,7,3.6,0,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepyYqPd5ZSjf21sdlxm0ASNF_I3aUKcigSj9W3Gett4qFlx3iUgGC3HHh1ldhEw3TqYwjp86nc8nEL_sdPdSjQOe3Tx4GwbGO9W4JNeOCSQ-x1yN38FWTxtwjRTNsNJ1n8_GonO=w408-h306-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beerville / Beside the Nature,Beer garden,Beer garden,Beer garden,"P74P+H93, Bahiti Marg, Kathmandu 44600, Nepal","P74P+H93, Bahiti Marg",Tahachal,Kathmandu,,44600,NP,27.705045,85.2864526,+977 970-4582001,+9779704582001,http://facebook.com/beerville,ChIJHUpEUkQZ6zkR7UtLuRBPbSQ,ChIJHUpEUkQZ6zkR7UtLuRBPbSQ,35,4.2,0,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer00_cnli5JuwwhYeP6QZjqI-nLrJgCw9yg5fCjxXNCk5MhAKO9xYNDbykSl2RiN0BSSng_HH9NSB7-k0-LhXV9j395hZhWCMQknMMX3f6NLdGScjwvyNEZgFi_co9oKIE_wS0Q7sufjwU=w408-h544-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaurav Event,Banquet hall,Banquet hall,Banquet hall,"M7WG+MQ7, Nagarjun 44600, Nepal",M7WG+MQ7,Syuchatar,Nagarjun,,,NP,27.6966652,85.276913,,,,ChIJMzckkDMZ6zkR0nm65UcsXp4,ChIJMzckkDMZ6zkR0nm65UcsXp4,17,4.1,0,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDsRj5d7wkhi1d80ki5VEoNJuyq5vaX6nWG3C1JVSAWFuf7reY2ajr_A6szTDb92hIt2-N4jFnSlmmAikquBBJ5FGB12wJw3EUk79tNqck302NzVinrx4l7PrA6sq1zzNtwBhS=w408-h544-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basnet Brothers Cottage & Restaurant,Restaurant,Restaurant,Restaurant,"Kathmandu 44600, Nepal",,Jitpur Phedi,Kathmandu,,44600,NP,27.7770068,85.2944806,+977 986-0930959,+9779860930959,,ChIJTXDhGRUf6zkR4BMfDVenceA,ChIJTXDhGRUf6zkR4BMfDVenceA,8,3.9,0,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepP_ix6T0CAcsxUmfmKyFPZLHqoyK-kyktWPaBOc2Ie3nxFs_zSsPK5uukuXYs2tsmkwIY2uDS9g5G6mZ7ncZ9hDKQVVM24KZUnv8DR6WpQCZa_CuP79Ysyd-JUvOIM0B_Vr8-Y=w462-h240-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashok Party Palace,Banquet hall,Banquet hall,Banquet hall,"P74F+8H6 Subhakamana, Panchakumari Tole, Nagarjun 44600, Nepal","P74F+8H6 Subhakamana, Panchakumari Tole",Sitapaila,Nagarjun,,44600,NP,27.7057853,85.2738947,,,,ChIJBUDxqKMZ6zkRN9_r9vzECQo,ChIJBUDxqKMZ6zkRN9_r9vzECQo,5,3.8,0,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoQBRVA5glC71b8vy57G2nf284Lj8gqWfDSD0GEDcKPhRnJx9KjFHm7OUHE1Liavx6ArNNxFB9wJQ1Q6GyA3r4oaH9Jmh4CdVpDlca_dpruWjaficf4P_x1veVtaCYCgjHfCrpQWA=w408-h904-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parikar Banquet,Banquet hall,Banquet hall,Banquet hall,"M7WH+M58, Kathmandu 44600, Nepal",M7WH+M58,Syuchatar,Kathmandu,,44600,NP,27.6966679,85.2779452,+977 985-1034401,+9779851034401,http://parikarbanquet.com.np/,ChIJPQzw53sY6zkR_I91iAuNdbc,ChIJPQzw53sY6zkR_I91iAuNdbc,15,3.9,0,12.0,8 AM to 8 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweovVIdWeEEdlBx3TZOCGjYp58IccU2TBXKhvXDnEAgvm7W4z7BBBOfKst4KG00XJkOLKQwruwwcAEkr3nE5lBC-runQyQV-BmkmQ0cG1qRZOtL-g4Xef2Y8TKJDv3ayU17u0kDH=w533-h240-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Godawari Garden Kitchen,Beer garden,Beer garden,Beer garden,"J955+HR2, Godawari 44709, Nepal",J955+HR2,,Godawari,,,NP,27.6088781,85.3595102,+977 1-5560244,+97715560244,http://facebook.com/GGK.Godawari,ChIJCd6oIAQR6zkR-1w9jqSNax8,ChIJCd6oIAQR6zkR-1w9jqSNax8,97,4.1,0,0.0,0,False,True,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo0H6LYLiWbRicRZV4JG5jAZKlj8MTDJ6ypKmn4SVeDfqxXwEPLHexpFvlAjHn4QKjSiXTCp2UwGrtQOSLGfSZYOqa5cCi9YMrpUc6r8RkbNBGSCI5L0dK6NJFFVtsit7agzQYmsw=w426-h240-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDRENI BANQUET,Banquet hall,Banquet hall,Banquet hall,"Kathmandu 44600, Nepal",,Shankhamul,Kathmandu,,44600,NP,27.6887023,85.3321805,+977 1-4791940,+97714791940,,ChIJzbBdzfgZ6zkRrVsmz3oEsw0,ChIJzbBdzfgZ6zkRrVsmz3oEsw0,39,4.0,0,9.0,9:30 AM to 6:30 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwequ0bBDX35pbvG6vcXRkSGxweZz2FcrSmuyCjaAiANF-_D7HEBVufFGFELEqEhFaUng37hPVLUEKqUrnLrdsTBqGgbtkZVo6ALmNkajD-0E8pjhmmTVPsBGQ9Ep-ATuhzBWmOrOLg=w408-h306-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imadol sports skate park,Adventure sports center,Adventure sports center,Adventure sports center,"M932+GV3, Nepal",M932+GV3,Imadol,,,,NP,27.6537548,85.3521737,+977 970-7568997,+9779707568997,,ChIJH8XjEAAX6zkROP_BVZubcQU,ChIJH8XjEAAX6zkROP_BVZubcQU,6,5.0,0,12.0,8 AM to 8 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweokl1LEdeDHIgKc5oonxlVgXnKDTc2KVw_9ONz6R0pV3zBZAFL67pLUnHmYPJ74QlwH8zMdZDjUU7BRjL6Uz7SR2Vuyam4Cod2DBMG9WHS-qjc2_izzGvg-FldfQZBpZ7TOQX2I=w408-h306-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shivam Banquet, Siddhipur",Banquet hall,Banquet hall,Banquet hall,"J9X4+RPF, F072, Mahalaxmi, Nepal","J9X4+RPF, F072",Siddhipur,Mahalaxmi,,,NP,27.6489654,85.3568555,+977 970-9020568,+9779709020568,,ChIJqYCtCQAR6zkRQDc4JPHvpHM,ChIJqYCtCQAR6zkRQDc4JPHvpHM,59,4.4,0,12.5,6:30 AM to 7 PM,False,False,,https://lh3.googleusercontent.com/p/AF1QipM2jkByQLTi0_e5GjwY7a53M-gf0ZaIX56T5Z95=w408-h271-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myajula Banquets,Banquet hall,Banquet hall,Banquet hall,"रिङ्ग रोड, Lalitpur 44700, Nepal",रिङ्ग रोड,Kusunti,Lalitpur,,44700,NP,27.661756,85.3170461,+977 984-1241101,+9779841241101,,ChIJV3MqWtQZ6zkRU7frpC-KJKk,ChIJV3MqWtQZ6zkRU7frpC-KJKk,60,3.4,0,13.0,7 AM to 8 PM,False,False,,https://lh3.googleusercontent.com/p/AF1QipN6ZiB8WG4Ug-Xak1C5DpbuCuiibrXXm1k946BG=w507-h240-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karki Banquet,Banquet hall,Banquet hall,Banquet hall,"M8VF+323, Kathmandu 44600, Nepal",M8VF+323,Thapathali,Kathmandu,,44600,NP,27.692633,85.3225573,+977 1-5362879,+97715362879,,ChIJ-wrLFbAZ6zkR9SBRsO2-oCk,ChIJ-wrLFbAZ6zkR9SBRsO2-oCk,40,3.9,0,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqOAKjBm0IRiIsKIZBNHD9grt3pKc9iRNs3nrfLlV-4Po-7vnWdJkD-PpnD94x7DL_S70xjwPMz_CIQvxT4M3V7s1geMtONkR59gXGOxx7y9VWK9L_QpRH8a2ZQO-a7T9j6lEPLMDZmsEc=w408-h306-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Crown Banquet,Banquet hall,Banquet hall,Banquet hall,"M8PR+X82, Madan Bhandari Road, Kathmandu 44600, Nepal","M8PR+X82, Madan Bhandari Road",New Baneshwor,Kathmandu,,44600,NP,27.6873917,85.3407651,+977 1-4621708,+97714621708,,ChIJ007iwZMZ6zkRdQdqhHp-H9I,ChIJ007iwZMZ6zkRdQdqhHp-H9I,120,3.4,0,0.0,0,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep_ALVtqKIrEEZJSOWEsnna5n3zbSkMb53BcQvV7n0DnBCHEA9wkR3E1UGgAh4yHjRpoMwDMiEXv6Wvu8Q3-RqhirNWnKZCdDmWHCvH7c2C4OwAmrJjn3z5LatG9qdwdviVx5up=w408-h306-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mandala Banquet,Banquet hall,Banquet hall,Banquet hall,"Prabhu Complex, Tinkune 4th Floor, Kathmandu 44600, Nepal","Prabhu Complex, Tinkune 4th Floor",Koteshwor,Kathmandu,,44600,NP,27.685402,85.346514,+977 1-5199064,+97715199064,,ChIJO-1FD40Z6zkRRmNbYBfKyDA,ChIJO-1FD40Z6zkRRmNbYBfKyDA,114,3.6,0,13.0,7 AM to 8 PM,False,False,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerSGyk1F9OTJtuLGuj8LjJMdDczwbCW0ilxStLYNjlsLif--EF2OynWsfqnNHIc1P4QIKvMUiOYricaLs6k07QAur5yF1btVf8kke3Z14Qo_U5CrQtxvOXBKsMmOpilvkDYeeoT=w426-h240-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bijaya Banquet & Events Venue,Banquet hall,Banquet hall,Banquet hall,"Bijaya banquet, Madhyapur Thimi 44600, Nepal",Bijaya banquet,,Madhyapur Thimi,,44600,NP,27.6698558,85.3553554,+977 984-1640105,+9779841640105,https://m.facebook.com/bijayabanquet/,ChIJj_-uTfMb6zkRHV4_swMgMF4,ChIJj_-uTfMb6zkRHV4_swMgMF4,109,3.7,0,24.0,Open 24 hours,False,False,,https://lh3.googleusercontent.com/p/AF1QipPT2ww8GF5flVIy1DiWK6Zj3v2ofcWhf9GQxSKm=w426-h240-k-no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
