name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,wifi,dine_in,takeout,delivery,breakfast,lunch,dinner,vegetarian,coffee,alcohol,beer,casual,family_friendly,tourists,reservations,cash_only,wheelchair_accessible_entrance,source_file,distribution_generated
North Rooftop Restaurant,Family restaurant,Family restaurant,"Ittachhen - 1, Bhaktapur 44800, Nepal",Bhaktapur,27.6721412,85.423476,4.1,54,0,1,10,29,14,0.0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,,1
Bluemoon homestay and Restaurant,Restaurant,Restaurant,"1 Sallaghari, Bhaktapur 44800, Nepal",Bhaktapur,27.6751651,85.4085202,4.8,13,0,0,0,5,8,105.5,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,,1
Old Town Food: Best Late-Night Food in Bhaktapur,Family restaurant,Family restaurant,"2 Sallaghari- Duwakot Rd, Changunarayan 44800, Nepal",Changunarayan,27.6776181,85.4075666,4.1,344,0,4,63,186,91,121.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,1
Newa Nanee,Restaurant,Restaurant,"MCF6+4RR, Bhaktapur 44800, Nepal",Bhaktapur,27.6735524,85.4124763,4.2,57,0,0,9,30,18,81.0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,,1
Mi:loco Cafe' n Restaurant,Restaurant,Restaurant,"Bhaktapur Multiple Campus Road, Dudhpati-1, Bhaktapur 44800, Nepal",Bhaktapur,27.6711367,85.4216744,4.0,85,0,1,19,46,19,101.5,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,,1
Swastik Newari Khaja Ghar (Authentic Newari Restaurant),Nepalese restaurant,Nepalese restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,27.6722911,85.426915,5.0,14,0,0,0,4,10,91.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Jai MataDi Sweet and Chat House,Restaurant,Restaurant,"Unnamed Road, 44800, Nepal",Suryabinayak,27.6695517,85.410913,3.7,7,0,0,2,4,1,84.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,1
Lakshmi Khaja Ghar,Fast food restaurant,Fast food restaurant,"MC96+CPX, Araniko Highway, Suryabinayak 44800, Nepal",Suryabinayak,27.668624,85.4118629,4.2,9,0,0,1,5,3,98.0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,,1
Cafe JAC Bhaktapur,Restaurant,Restaurant,"Suryabinayak 44800, Nepal",Suryabinayak,27.6652664,85.4226844,5.0,3,0,0,0,1,2,91.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,,1
Dipa Khaja Ghar,Fast food restaurant,Fast food restaurant,"MC8C+H2G, Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6664314,85.420063,5.0,1,0,0,0,0,1,0.0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,,0
CHOPSTICK,Fast food restaurant,Fast food restaurant,"Unnamed Road, Suryabinayak 44800, Nepal",Suryabinayak,27.6689815,85.4057539,4.4,5,0,1,0,0,4,87.5,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,,0
Sukul Dhoka ko Michael Momo,Chinese restaurant,Chinese restaurant,"MCC5+7MQ, Suryabinayak 44800, Nepal",Suryabinayak,27.670709,85.4092365,3.5,2,0,1,0,0,1,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Suddha Sakahari Khaja Ghar,Breakfast restaurant,Breakfast restaurant,"Araniko Highway, Suryabinayak 44800, Nepal",Suryabinayak,27.669819,85.408712,0.0,0,0,0,0,0,0,91.0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,0
RBrr Khaja ghar,Restaurant,Restaurant,"MC77+QQX, Suryabinayak 44800, Nepal",Suryabinayak,27.6644892,85.414486,0.0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,0
Sindhu Khaja Ghar,Fast food restaurant,Fast food restaurant,"MC89+JQ9, Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6665413,85.4194733,3.0,2,1,0,0,0,1,91.0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,,0
J.K. Rimjhim Food Stick,Asian restaurant,Asian restaurant,"MC86+R59, Unnamed Road, Suryabinayak 44800, Nepal",Suryabinayak,27.6670465,85.4104814,0.0,0,0,0,0,0,0,0.0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,,0
Takila tea sallaghari outlet,Restaurant,Restaurant,"MCC5+327, Unnamed Road, Suryabinayak 44800, Nepal",Suryabinayak,27.6701624,85.4075394,0.0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Maa’s Cafe,Cafe,Cafe,"Tinkune, Sallahghari, Bhaktapur 44800, Nepal",Bhaktapur,27.6708336,85.4091961,4.9,52,0,0,1,17,34,98.0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,,1
Café:In,Coffee shop,Coffee shop,"Bhaktapur 44800, Nepal",Bhaktapur,27.664202,85.4217985,4.8,12,0,0,1,4,7,74.75,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,,1
Cin Cin Garden,Restaurant,Restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,27.6706505,85.4218284,4.7,402,0,0,18,158,226,94.5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,,1
The light cafe and restaurant,Restaurant,Restaurant,"Suryabinayak 44800, Nepal",Suryabinayak,27.6633759,85.4237223,5.0,1,0,0,0,0,1,107.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1
Baiga Cafe and Rooftop,Restaurant,Restaurant,"MCFF+3XG, Bhaktapur 44800, Nepal",Bhaktapur,27.6726941,85.4249557,4.9,10,0,0,0,3,7,101.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
MOMO MUNI CAFE,Family restaurant,Family restaurant,"MCC4+V9G, Suryabinayak 44800, Nepal",Suryabinayak,27.6721982,85.4058445,5.0,1,0,0,0,0,1,70.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,1
La Bella Restro srijananagar bhaktapur,Cafe,Cafe,"srijananagar, Bhaktapur 44800, Nepal",Bhaktapur,27.6723507,85.4052033,4.6,10,0,0,1,4,5,112.0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,1
CULTURE CAFE & BAR,Nepalese restaurant,Nepalese restaurant,"Pottery Square, Bhaktapur 44800, Nepal",Bhaktapur,27.6699487,85.4277691,4.7,43,0,0,2,17,24,98.0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,,1
Bhaktapur Dairy And Coffee Shop,Cafe,Cafe,"MC89+F7X, Bhaktapur 44800, Nepal",Bhaktapur,27.666245,85.4182367,5.0,1,0,0,0,0,1,112.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1
The Pottery Cafe and bar,Restaurant,Restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,27.6697144,85.4276931,4.5,271,0,0,21,125,125,84.0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,,1
Siddhapokhari Kirana Pasal,Coffee shop,Coffee shop,"MCCC+G24, Bhaktapur 44800, Nepal",Bhaktapur,27.6711801,85.4200541,3.7,107,6,11,27,25,38,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
SUZZANE FOOD CAFE,Cafe,Cafe,"MC96+W6F, Suryabinayak 44800, Nepal",Suryabinayak,27.6698033,85.4105413,1.0,1,1,0,0,0,0,0.0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,,0
Palpasa Cafe & Fast Food,Cafe,Cafe,"MC96+X4M, Araniko Highway, Suryabinayak 44800, Nepal",Suryabinayak,27.6699536,85.4102817,2.8,5,0,2,2,1,0,91.0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,,0
Sindhupalchok khaja ghar and coffee shop,Coffee shop,Coffee shop,"MC89+9M8, Bhaktapur 44800, Nepal",Bhaktapur,27.6659175,85.4192133,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0
Sunapati Ramechhap Khaja Ghar,Bar,Bar,"MCC6+4G6, Bhaktapur 44800, Nepal",Bhaktapur,27.6702942,85.4112787,1.0,1,1,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,1
Ghorasaini Liquor & Fruits,Bar,Bar,"MCC7+9H6, Bhaktapur 44800, Nepal",Bhaktapur,27.6709226,85.4138819,0.0,0,0,0,0,0,0,120.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,0
bhaktapur nepal,Bar,Bar,"MCC5+M4H, Bhaktapur 44800, Nepal",Bhaktapur,27.6716863,85.4078543,0.0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,0
The Golden Lion,Sports bar,Sports bar,"Height 44800, Nepal",Height,27.6617555,85.4211059,5.0,3,0,0,0,1,2,102.0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,1
Stunt bums,Bar,Bar,"MC75+QJW, Suryabinayak 44800, Nepal",Suryabinayak,27.6644841,85.4090714,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0
mrp sekuwa adda सेकुवा KG रक्सी MRP मा,Bar,Bar,"MCF3+6W5, Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6730246,85.4047476,4.2,47,0,0,7,25,15,112.0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,,1
Battle Snooker,Sports bar,Sports bar,"MCCF+839, Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6707806,85.422736,5.0,1,0,0,0,0,1,84.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,,1
The Garuda Bar,Bar,Bar,"Taumadhi Square, Rooftop Of Hotel Garuda, Bhaktapur 44800, Nepal",Bhaktapur,27.6707963,85.4288518,4.2,103,0,1,15,55,32,91.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,,1
Khankii Lounge & Bar with Thakali,Bar,Bar,"MCF3+6W5, Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6730144,85.4048528,0.0,0,0,0,0,0,0,87.5,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,,0
Tas-ka Bar,Bar,Bar,"12 Bolachhen, Bhaktapur 44800, Nepal",Bhaktapur,27.6702897,85.4285822,4.1,15,0,0,3,8,4,0.0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,1
Ja foodland and Bar,Bar,Bar,"MCCH+FWX, Bhaktapur 44800, Nepal",Bhaktapur,27.6712421,85.4298469,3.4,21,0,2,10,8,1,0.0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,1
The Tribal Bar,Bar,Bar,"MC8G+X4R, गःपलि मार्ग, Bhaktapur 44800, Nepal",Bhaktapur,27.6675284,85.4252122,0.0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,,0
Lawaju Mithai Bhandar (लवजू मिठाइ भण्डार),Vegetarian restaurant,Vegetarian restaurant,"Garud Kunda, Jagati-KamalBinayak Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6767395,85.4371462,3.8,39,0,1,12,20,6,98.0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,,1
सिध्दिलक्ष्मी मिठाई भण्डार,Vegetarian restaurant,Vegetarian restaurant,"100 Araniko Highway, Suryabinayak 44800, Nepal",Suryabinayak,27.6649522,85.4256451,3.6,80,0,4,31,37,8,98.0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,,1
Balakhu Food Point,Restaurant,Restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,27.6728194,85.4293616,4.8,268,0,0,9,95,164,82.25,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
Na:Pukhu Fast Food,Restaurant,Restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,27.6714316,85.4231449,3.4,108,0,10,50,42,6,91.0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,,1
Tryst Fast Food Restaurant,Restaurant,Restaurant,"MCCC+JM3, Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6715225,85.4216812,3.5,179,0,13,77,76,13,91.0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,,1
Stick Fast Food,Restaurant,Restaurant,"MCCC+G97, Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.671189,85.4208855,4.0,2,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
3rd eyes fast food,Restaurant,Restaurant,"MC8G+MR6 Bhulancha, Suryabinayak 44800, Nepal",Suryabinayak,27.6666523,85.4270263,5.0,3,0,0,0,1,2,84.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1
New Diamond Restaurant,Fast food restaurant,Fast food restaurant,"MCH5+GCR, Changunarayan 44800, Nepal",Changunarayan,27.6788591,85.4085359,5.0,2,0,0,0,1,1,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Kyodong Laphing and Fast Food,Restaurant,Restaurant,"MC8F+G93, Unnamed Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6662604,85.4234316,4.0,1,0,0,0,1,0,91.0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,1
कान्तिपुर गेष्ट हाउस एण्ड रेष्टुरेन्ट,Hong Kong style fast food restaurant,Hong Kong style fast food restaurant,"Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6712727,85.4207497,3.2,17,0,2,9,5,1,168.0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,,1
New York Bites,Fast food restaurant,Fast food restaurant,"MCFG+587, Durbar Square Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6728993,85.4258144,5.0,1,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Swadishta Momo And Fast Food,Restaurant,Restaurant,"MCF4+RVW, Bhaktapur 44800, Nepal",Bhaktapur,27.6746014,85.4072186,3.0,2,0,1,1,0,0,91.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1
Kumar Khaja Ghar कुमार खाजा घर,Fast food restaurant,Fast food restaurant,"MC76+7CJ, Bhaktapur 44800, Nepal",Bhaktapur,27.6632167,85.4110133,0.0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
De Temple Cafe,Restaurant,Restaurant,"North side of Dattatraya Square, Bhaktapur 44800, Nepal",Bhaktapur,27.6735231,85.4349476,4.4,197,0,1,19,96,81,105.0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,,1
Madhikarmi JuJu Dhau Center,Dessert restaurant,Dessert restaurant,"MCFJ+4J6, Golmadhi, Bhaktapur 44800, Nepal",Bhaktapur,27.6727945,85.431531,4.5,59,0,0,5,27,27,91.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1
Hada Ice Cream,Ice cream shop,Ice cream shop,"Bhaktapur 44800, Nepal",Bhaktapur,27.6667617,85.4256602,4.0,438,0,6,97,238,97,84.0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,,1
Hotel Prisha and Rooftop,Restaurant,Restaurant,"Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6712287,85.4204982,4.3,35,0,0,4,18,13,0.0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,,1
Timmure kamalbinayak,Barbecue restaurant,Barbecue restaurant,"Jagati-KamalBinayak Rd, Bhaktapur 44600, Nepal",Bhaktapur,27.6768151,85.4368339,4.0,115,0,2,25,63,25,87.5,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,,1
Eagle King sekuwa corner,Barbecue restaurant,Barbecue restaurant,"MCH5+G9H, Bhaktapur 44800, Nepal",Bhaktapur,27.6788165,85.4084699,0.0,0,0,0,0,0,0,105.0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,,0
COFEE SHOP,Coffee shop,Coffee shop,"MCF5+W8Q, Bhaktapur 44800, Nepal",Bhaktapur,27.674848,85.4084642,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0
Fresh coffe House and Barkery,Coffee shop,Coffee shop,"MCC6+229, Suryabinayak 44800, Nepal",Suryabinayak,27.6700488,85.4101096,5.0,1,0,0,0,0,1,0.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1
Roshani Coffee Shop,Coffee shop,Coffee shop,"MCF5+GWP, Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6738452,85.409822,3.4,38,0,3,18,15,2,91.0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,,1
Shrestha Coffee Shop,Cafe,Cafe,"MCF5+MRV, Bhaktapur 44800, Nepal",Bhaktapur,27.6742261,85.4095526,3.4,21,0,2,10,8,1,94.5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,,1
Drip Cafe,Coffee shop,Coffee shop,"Bhaktapur 44800, Nepal",Bhaktapur,27.671192,85.4207331,5.0,1,0,0,0,0,1,94.5,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1
UnderGround Cafe,Coffee shop,Coffee shop,"MCCC+5PM, Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.67039,85.421741,5.0,3,0,0,0,1,2,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1
My Cafe,Coffee shop,Coffee shop,"MCC4+RGP, Araniko Highway, Suryabinayak 44800, Nepal",Suryabinayak,27.6720649,85.4063076,0.0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
Prabin Cold Store,Coffee shop,Coffee shop,"MCGF+647, Nagarkot Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6755398,85.4227956,5.0,1,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1
"suryabinayak,5 katunje",Coffee shop,Coffee shop,"MC93+8QV, Suryabinayak, Nepal",Suryabinayak,27.6683542,85.4044251,5.0,1,0,0,0,0,1,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1
The bekary & coffee shop,Coffee shop,Coffee shop,"Bhaktapur 44800, Nepal",Bhaktapur,27.6683125,85.4043512,5.0,1,0,0,0,0,1,98.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1
Bhajya Pukhu Coffee,Coffee shop,Coffee shop,"Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6712812,85.4211715,4.0,334,0,5,74,181,74,91.0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,,1
Shova Coffee Shop,Coffee shop,Coffee shop,"MCCC+JM3, Siddhaphokari, Bhaktapur 44800, Nepal",Bhaktapur,27.67151,85.4216859,3.2,22,0,3,11,7,1,98.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1
Durbar Coffee & Eatery,Coffee shop,Coffee shop,"MCCG+WJP, Bhaktapur 44800, Nepal",Bhaktapur,27.672341,85.4266082,4.6,24,0,0,2,10,12,84.0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,,1
Coffee Klatch,Coffee shop,Coffee shop,"12 Rammandir Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6700445,85.4282604,4.5,70,0,0,6,32,32,91.0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,,1
Bijen Ko Pasal,Coffee shop,Coffee shop,"MCF3+2R3, Bhaktapur 44800, Nepal",Bhaktapur,27.6724194,85.4043218,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0
Shashil group,Coffee shop,Coffee shop,"Bhaktapur 44800, Nepal",Bhaktapur,27.6716926,85.4078369,0.0,0,0,0,0,0,0,144.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
The Street Coffee House,Coffee store,Coffee store,"Sahid Smriti Khel, Maidan 44800, Nepal",Maidan,27.674435,85.4229588,5.0,23,0,0,0,7,16,105.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Refesh Coffee House and Bakery,Coffee store,Coffee store,"Araniko Highway, Suryabinayak 44800, Nepal",Suryabinayak,27.6700433,85.4101231,5.0,1,0,0,0,0,1,101.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
One O One Coffee & Barista School,Coffee shop,Coffee shop,"Suryabinayak-6, Bhaktapur, Nepal",Bhaktapur,27.6639728,85.4259243,4.7,487,0,0,22,191,274,98.0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,,1
The Morrison Cafe,Coffee shop,Coffee shop,"MCFG+24J, Bhaktapur 44800, Nepal",Bhaktapur,27.6725878,85.4252582,5.0,4,0,0,0,1,3,98.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1
Hillside beans barista coffee school,Coffee shop,Coffee shop,"MC7G+Q7X, F099, Suryabinayak 44800, Nepal",Suryabinayak,27.6644989,85.4257322,4.8,80,0,0,3,28,49,112.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1
Enjoycoffeeshop,Coffee shop,Coffee shop,"3 Somla galli, Bhaktapur 44800, Nepal",Bhaktapur,27.671456,85.4278273,5.0,5,0,0,0,1,4,89.5,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,1
FreshPresso Coffee Bar,Cafe,Cafe,"बलखु 44800, Nepal",बलखु,27.6726397,85.4295795,4.6,39,0,0,2,17,20,108.5,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,,1
Refresh Cafe,Cafe,Cafe,"MCCC+GF7, Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6712788,85.4211734,4.5,2,0,0,0,1,1,0.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1
Abc Cafe,Cafe,Cafe,"MC93+HXH, Suryabinayak 44800, Nepal",Suryabinayak,27.6689225,85.4049667,5.0,1,0,0,0,0,1,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1
TUSHARO CAFE,Cafe,Cafe,"101 Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6660451,85.4225424,5.0,1,0,0,0,0,1,168.0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,,1
Janakpur Sweet and chat house,Family restaurant,Family restaurant,"MCH5+539, Changunarayan 44800, Nepal",Changunarayan,27.6778068,85.4078506,5.0,3,0,0,0,1,2,0.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Busy Bee Restro,Restaurant,Restaurant,"MCF5+GWP, Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6738313,85.4098194,4.3,4,0,0,1,2,1,91.0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,,1
Salla Cafe,Restaurant,Restaurant,"MCF5+GWV, Bhaktapur 44800, Nepal",Bhaktapur,27.6738651,85.4097823,3.3,3,0,0,2,1,0,0.0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,,1
Вкусная еда,Restaurant,Restaurant,"MCG5+6P3, Bhaktapur 44800, Nepal",Bhaktapur,27.6754222,85.4092715,4.7,3,0,0,0,1,2,84.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1
