name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,wifi,dine_in,takeout,delivery,breakfast,lunch,dinner,vegetarian,coffee,alcohol,beer,casual,family_friendly,tourists,reservations,cash_only,wheelchair_accessible_entrance,phone,price,rank,place_id,imageUrl,address,additionalInfo_Amenities_Restroom,url
A One Liquor Shop,Bar,Bar,"Dhara chowk, Bhaktapur 44800, Nepal",Bhaktapur,27.6712166,85.4378953,5,1,0,0,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+977 984-0922680,,4,ChIJ09F7gX4F6zkRlA9PJ3AZk0M,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rrTTAceoTwdy3piSg9Xb5w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=285.7436&pitch=0&thumbfov=100,"Dhara chowk, Bhaktapur 44800, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=A%20One%20Liquor%20Shop&query_place_id=ChIJ09F7gX4F6zkRlA9PJ3AZk0M
A-One Fast Food & Chaat Center,Family restaurant,Family restaurant,"MC9H+G6V, Rammandir Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6688119,85.4279565,5,9,0,0,0,3,6,77,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,19,ChIJjYMhbgAb6zkRnQxqI2EXcPk,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxuAzUq0sG1oBhcx2Ft5DUcFUFbMhWYor4pV4mL1bg_fZvjLWbaz7AmvPDIKobJDwvzVNFwBsRSccq9EhpyKD9jT36SG6rdNKy1oUGE05XlIBbY0RgUs-dT8CTcJk_1QU4BE-dmuZda35Fp=w408-h544-k-no,"MC9H+G6V, Rammandir Rd, Bhaktapur 44800, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=A-One%20Fast%20Food%20%26%20Chaat%20Center&query_place_id=ChIJjYMhbgAb6zkRnQxqI2EXcPk
A.G LIQUOR SHOP,Bar,Bar,"M9GX+62R Bhat bhateni superstore, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6756092,85.3975034,3.3,22,0,5,11,1,3.3,70,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,5,ChIJu0FxBgAb6zkRm3K8MUuZGHA,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mfSaV-qV8n9G3NSIQAzrSQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=218.13324&pitch=0&thumbfov=100,"M9GX+62R Bhat bhateni superstore, Madhyapur Thimi, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=A.G%20LIQUOR%20SHOP&query_place_id=ChIJu0FxBgAb6zkRm3K8MUuZGHA
अन्जना खाजा घर,Fast food restaurant,Fast food restaurant,"Maha manjushree, marga 44800, Nepal",marga,27.6861323,85.4774943,3.1,14,0,7,0,6,3.1,94.5,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,+977 976-1807912,,15,ChIJ8Y-mngAF6zkRxGoDT0PQajc,https://lh3.googleusercontent.com/p/AF1QipMOShh5yHwf52xQJtXGBAe5AYqJZVFPrgK4YLjY=w408-h306-k-no,"Maha manjushree, marga 44800, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=%E0%A4%85%E0%A4%A8%E0%A5%8D%E0%A4%9C%E0%A4%A8%E0%A4%BE%20%E0%A4%96%E0%A4%BE%E0%A4%9C%E0%A4%BE%20%E0%A4%98%E0%A4%B0&query_place_id=ChIJ8Y-mngAF6zkRxGoDT0PQajc
श्याम चिया पसल,Coffee shop,Coffee shop,"MCGM+C28, Bhaktapur 44800, Nepal",Bhaktapur,27.6760317,85.4325788,3.9,587,0,12,153,315,107,98,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,40,ChIJTxWVs2wb6zkR2nZG2O3CSfE,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Xb2IwE2x4ELEaeYFtsJ0rQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=166.40257&pitch=0&thumbfov=100,"MCGM+C28, Bhaktapur 44800, Nepal",,https://www.google.com/maps/search/?api=1&query=%E0%A4%B6%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AE%20%E0%A4%9A%E0%A4%BF%E0%A4%AF%E0%A4%BE%20%E0%A4%AA%E0%A4%B8%E0%A4%B2&query_place_id=ChIJTxWVs2wb6zkR2nZG2O3CSfE
न्यू सुर्यबिनायक अमिलो एण्ड कुल्फी शप,Dessert shop,Dessert shop,"गपली मार्ग, Suryabinayak 44800, Nepal",Suryabinayak,27.666363,85.425524,3.1,13,2,4,1,3,3.1,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+977 981-8755661,,19,ChIJ985FQqYa6zkRGtiiMbit4Oo,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QE10srOyQPB0p-eAC_Slww&cb_client=search.gws-prod.gps&w=408&h=240&yaw=255.77216&pitch=0&thumbfov=100,"गपली मार्ग, Suryabinayak 44800, Nepal",,https://www.google.com/maps/search/?api=1&query=%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A5%82%20%E0%A4%B8%E0%A5%81%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%AC%E0%A4%BF%E0%A4%A8%E0%A4%BE%E0%A4%AF%E0%A4%95%20%E0%A4%85%E0%A4%AE%E0%A4%BF%E0%A4%B2%E0%A5%8B%20%E0%A4%8F%E0%A4%A3%E0%A5%8D%E0%A4%A1%20%E0%A4%95%E0%A5%81%E0%A4%B2%E0%A5%8D%E0%A4%AB%E0%A5%80%20%E0%A4%B6%E0%A4%AA&query_place_id=ChIJ985FQqYa6zkRGtiiMbit4Oo
नेवा खाजा घर,Restaurant,Restaurant,"M9HW+2GQ, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6776203,85.3965558,3.1,24,6,3,3,7,3.1,105,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,65,ChIJt6D2KwAb6zkRWbzrYjCpipQ,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=99qYWpYBS9M9eFnQ19tBqg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=350.72998&pitch=0&thumbfov=100,"M9HW+2GQ, Madhyapur Thimi, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=%E0%A4%A8%E0%A5%87%E0%A4%B5%E0%A4%BE%20%E0%A4%96%E0%A4%BE%E0%A4%9C%E0%A4%BE%20%E0%A4%98%E0%A4%B0&query_place_id=ChIJt6D2KwAb6zkRWbzrYjCpipQ
सिध्दिलक्ष्मी मिठाई भण्डार,Vegetarian restaurant,Vegetarian restaurant,"100 Araniko Highway, Suryabinayak 44800, Nepal",Suryabinayak,27.6649522,85.4256451,3.4,38,0,3,18,15,2,98,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,+977 1-6611118,,4,ChIJ-6ODtKca6zkRfaPf4hr-ruY,https://lh3.googleusercontent.com/p/AF1QipMsG2dD-OJ8qMCiASo9HPnGN_i2LSaMjgkjPtdL=w408-h306-k-no,"100 Araniko Highway, Suryabinayak 44800, Nepal",,https://www.google.com/maps/search/?api=1&query=%E0%A4%B8%E0%A4%BF%E0%A4%A7%E0%A5%8D%E0%A4%A6%E0%A4%BF%E0%A4%B2%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A5%8D%E0%A4%AE%E0%A5%80%20%E0%A4%AE%E0%A4%BF%E0%A4%A0%E0%A4%BE%E0%A4%88%20%E0%A4%AD%E0%A4%A3%E0%A5%8D%E0%A4%A1%E0%A4%BE%E0%A4%B0&query_place_id=ChIJ-6ODtKca6zkRfaPf4hr-ruY
सानाे ठाउँमा सानो व्यवसाय,Restaurant,Restaurant,"MFPH+8QV, Mahamanjushree Nagarkot, Nepal",Mahamanjushree Nagarkot,27.6858742,85.4794353,3.5,28,1,0,14,11,3.5,168,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,+977 982-3609089,,2,ChIJKWFxczoF6zkRS_BLaPADtz4,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZivZPK61GQ8mAE4ZIhDxlQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=176.34694&pitch=0&thumbfov=100,"MFPH+8QV, Mahamanjushree Nagarkot, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=%E0%A4%B8%E0%A4%BE%E0%A4%A8%E0%A4%BE%E0%A5%87%20%E0%A4%A0%E0%A4%BE%E0%A4%89%E0%A4%81%E0%A4%AE%E0%A4%BE%20%E0%A4%B8%E0%A4%BE%E0%A4%A8%E0%A5%8B%20%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%B5%E0%A4%B8%E0%A4%BE%E0%A4%AF&query_place_id=ChIJKWFxczoF6zkRS_BLaPADtz4
साइलाको पसल,Coffee shop,Coffee shop,"MFPM+Q4C, Nagarkot Road, Mahamanjushree Nagarkot, Nepal",Mahamanjushree Nagarkot,27.6869412,85.4827798,4.2,28,0,1,8,4,4.2,70,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,4,ChIJW1dCCzwF6zkRo6P34Jo-g60,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyPO4rIXDjf4D1NFTFuaeIWot7i4LQSw_scDdNOdqxpXYlygVzblB03u90PQlzWPN51Up7zr_830z4Xw-G033qlnZ9ZHzrC6vTpYcYOD-c78UdQq5f-IdpAMUesYudHwHzmfAk=w408-h306-k-no,"MFPM+Q4C, Nagarkot Road, Mahamanjushree Nagarkot, Nepal",,https://www.google.com/maps/search/?api=1&query=%E0%A4%B8%E0%A4%BE%E0%A4%87%E0%A4%B2%E0%A4%BE%E0%A4%95%E0%A5%8B%20%E0%A4%AA%E0%A4%B8%E0%A4%B2&query_place_id=ChIJW1dCCzwF6zkRo6P34Jo-g60
सुशीलाको भान्सा,Cafe,Cafe,"Changunarayan 44600, Nepal",Changunarayan,27.7095992,85.4149886,3.6,15,0,2,3,9,3.6,92,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,+977 984-1802849,$,28,ChIJkwQsxh8b6zkRnvrEOkMlOTI,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwO1hOjDdBNwcNhXcDWmuR2XiyAbttIMQZVly_8cA9zq6rHl43uINR1wFNLrL5DgH919Ba5-5KrZtDKlm_Y_Qzo8ZJ5M74ZD9RnS3Oym1p397641vLWnPwNDyQs5lYRhZN2F2k9=w426-h240-k-no,"Changunarayan 44600, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=%E0%A4%B8%E0%A5%81%E0%A4%B6%E0%A5%80%E0%A4%B2%E0%A4%BE%E0%A4%95%E0%A5%8B%20%E0%A4%AD%E0%A4%BE%E0%A4%A8%E0%A5%8D%E0%A4%B8%E0%A4%BE&query_place_id=ChIJkwQsxh8b6zkRnvrEOkMlOTI
रोज खाना तथा खाजा घर,Restaurant,Restaurant,"Madhyapur-Thimi Municipality, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6896582,85.3910851,3.4,29,0,6,9,11,3.4,105,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,+977 986-0713919,,39,ChIJRQ68HFwa6zkRs4_uL7abmgk,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzO9FJ6hb1aOaDJZsdXxepP0IxggkZFBHHZpVboKJVM2NVwZOxeDKoHbnxiUXxooS8kooRSaC-jGZ6T3TFrB3sr-D9sqSZiFBpRhY89-ssDQzBTNd32AWBXpqEsI6b-NNYGl2Vm=w408-h240-k-no-pi-20-ya280-ro-0-fo100,"Madhyapur-Thimi Municipality, Madhyapur Thimi 44600, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=%E0%A4%B0%E0%A5%8B%E0%A4%9C%20%E0%A4%96%E0%A4%BE%E0%A4%A8%E0%A4%BE%20%E0%A4%A4%E0%A4%A5%E0%A4%BE%20%E0%A4%96%E0%A4%BE%E0%A4%9C%E0%A4%BE%20%E0%A4%98%E0%A4%B0&query_place_id=ChIJRQ68HFwa6zkRs4_uL7abmgk
रेष्मा खाजा पसल,Bed & breakfast,Bed & breakfast,"M9FC+P7X, Araniko Highway, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6743633,85.3707449,3.8,28,1,2,6,13,3.8,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,ChIJIabQKBIa6zkR6mOFB6GnplU,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFG8LjrmMut7rUAirjS6RQXeSkHH0abF7V0GLTp9JxKLmD2R8iwE6Ew4N_i2csIeX4xTwOm-1ckvrVshis9xigoFROKN68Y_MOWur7Vpp50g263VQ0FXznGqjD2mDr-bRe-fOj6dlNID3_DJXE_PQg0VJdTQugqfndBtEkjs_GZylLwfSdwVp9s1Rz9eGhZDyWXjQ=w408-h306-k-no,"M9FC+P7X, Araniko Highway, Madhyapur Thimi 44600, Nepal",,https://www.google.com/maps/search/?api=1&query=%E0%A4%B0%E0%A5%87%E0%A4%B7%E0%A5%8D%E0%A4%AE%E0%A4%BE%20%E0%A4%96%E0%A4%BE%E0%A4%9C%E0%A4%BE%20%E0%A4%AA%E0%A4%B8%E0%A4%B2&query_place_id=ChIJIabQKBIa6zkR6mOFB6GnplU
महिम क्याफे,Cafe,Cafe,"M9JP+2HH, Tahanani Road, Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.680051,85.386488,3.2,20,3,6,1,4,3.2,98,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,,,39,ChIJM1MaI2Ya6zkRr13PJNxlFok,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFDRwbhzJz0FYihGo5V1HHlWvhS0m9aBrBllVNcXtuN7ofcdLHFq1SkYfC4C9h-NXGPpiy2DhuTl5F3qHL6c4hS_G4qKn2NsxvqsAT6zxovMFQdFOB88H1mjyssCA7smSGLa6tRpawe2tm49mrbW51F5RGtBTgQ6odzLVoTWimQazAnez2BEg1zHGUULvM2i_enpw=w408-h306-k-no,"M9JP+2HH, Tahanani Road, Madhyapur Thimi 44800, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=%E0%A4%AE%E0%A4%B9%E0%A4%BF%E0%A4%AE%20%E0%A4%95%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AB%E0%A5%87&query_place_id=ChIJM1MaI2Ya6zkRr13PJNxlFok
मङली को पसल,Tea store,Tea store,"PC37+7PR, Changunarayan 44600, Nepal",Changunarayan,27.7032375,85.4142656,3.3,14,2,2,3,4,3.3,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,116,ChIJMX8SMZYb6zkRPUqRHYsoOZ0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dVCvJtt8z_wfM_aK8uSPFw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=242.5124&pitch=0&thumbfov=100,"PC37+7PR, Changunarayan 44600, Nepal",,https://www.google.com/maps/search/?api=1&query=%E0%A4%AE%E0%A4%99%E0%A4%B2%E0%A5%80%20%E0%A4%95%E0%A5%8B%20%E0%A4%AA%E0%A4%B8%E0%A4%B2&query_place_id=ChIJMX8SMZYb6zkRPUqRHYsoOZ0
बर्गर हाउस,Cafe,Cafe,"MCFG+38P, Bhaktapur 44800, Nepal",Bhaktapur,27.6727151,85.4258303,5,1,0,0,0,0,1,77,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,+977 981-8112233,$,51,ChIJDTsBe6Ua6zkRUo_R6SwWo3E,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwXfgnNer69n06vBdV1aM77WVcLEqyYCu-i_r9Nzf1rDYij_7sm2NFWQ2Qra8pPkUwE4kRSF1trApP321MCsscxmrZMQad-iW3yPn9P5YIzd0VsbnOKqN349HXrMMe831EXotM=w426-h240-k-no,"MCFG+38P, Bhaktapur 44800, Nepal",,https://www.google.com/maps/search/?api=1&query=%E0%A4%AC%E0%A4%B0%E0%A5%8D%E0%A4%97%E0%A4%B0%20%E0%A4%B9%E0%A4%BE%E0%A4%89%E0%A4%B8&query_place_id=ChIJDTsBe6Ua6zkRUo_R6SwWo3E
बालकाेट मिठाई भण्डार,Fast food restaurant,Fast food restaurant,"M988+5GX, Anantalingeshwar 44600, Nepal",Anantalingeshwar,27.6654964,85.3663677,3.4,13,0,5,1,4,3.4,105,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,2,ChIJh-fRhkQb6zkRJDIFAf4Tad0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WFJPTqeuSDxqyPCyjG-alQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=301.64136&pitch=0&thumbfov=100,"M988+5GX, Anantalingeshwar 44600, Nepal",,https://www.google.com/maps/search/?api=1&query=%E0%A4%AC%E0%A4%BE%E0%A4%B2%E0%A4%95%E0%A4%BE%E0%A5%87%E0%A4%9F%20%E0%A4%AE%E0%A4%BF%E0%A4%A0%E0%A4%BE%E0%A4%88%20%E0%A4%AD%E0%A4%A3%E0%A5%8D%E0%A4%A1%E0%A4%BE%E0%A4%B0&query_place_id=ChIJh-fRhkQb6zkRJDIFAf4Tad0
बालकुमारी खाजा घर,Restaurant,Restaurant,"Unnamed Road, Mahamanjushree, Nepal",Mahamanjushree,27.6794027,85.4758049,4.4,13,0,1,0,5,4.4,77,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,,,7,ChIJUY5G8XYF6zkRqKOd1oOGo7o,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zDgRICNgIBjrkUcm3kDT-w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=0.45151573&pitch=0&thumbfov=100,"Unnamed Road, Mahamanjushree, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=%E0%A4%AC%E0%A4%BE%E0%A4%B2%E0%A4%95%E0%A5%81%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A5%80%20%E0%A4%96%E0%A4%BE%E0%A4%9C%E0%A4%BE%20%E0%A4%98%E0%A4%B0&query_place_id=ChIJUY5G8XYF6zkRqKOd1oOGo7o
