name,main_category,category,address,city,lat,lng,rating,reviews_count,imageUrl,phone,url
Lokeshwor Vihar,Buddhist temple,Buddhist temple,"MCCG+R6F, Bhaktapur 44800, Nepal",Bhaktapur,27.6720648,85.4255366,4.8,5,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxZmBmcsbtohWPRXQj1oqsbRYCvvQZ5wjHxuN3OEKIzHz2O9s0VO9gwmh2n303oakqqyXV3jX0jpKhSpzclZQiPOBlnnWBpthdckb_LefWcn2eG4JhhaVr5VrsFL-5N6zc_qm4A=w408-h314-k-no,,https://www.google.com/maps/search/?api=1&query=Lokeshwor%20Vihar&query_place_id=ChIJn4e7FqUa6zkR5oDUZ--NDQU
Namobuddha - Namra bhagawan,Buddhist temple,Buddhist temple,"MCCM+W5R, Golmadhi Tole, Bhaktapur 44800, Nepal",Bhaktapur,27.672358,85.4328854,5,3,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwLOKh4fLfUVn5jQcCeXyBX4mONnPKha7f_RpPKk1BY-JIpwneABfONYik9jvxBCKoyMxbRJhCu3PfR0DRX4K0K7_LiIRMXQ57jG-cFqBT8MCWGooqaF1V7bgK7ae6PGpiJWEWA=w408-h544-k-no,,https://www.google.com/maps/search/?api=1&query=Namobuddha%20-%20Namra%20bhagawan&query_place_id=ChIJaR-pXCkb6zkRNThUc4E2ZrE
Jetavarna Mahabihar,Buddhist temple,Buddhist temple,"MCCG+G5H, बंशगोपाल मार्ग, Bhaktapur 44800, Nepal",Bhaktapur,27.6713007,85.4254977,4.3,3,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFK968M3YYJmKvw3VnP2MBtUeSj-dI3G77STK9c5W8rpdG2tObELDjcXsPNNP4ZhepSh47BsK-Whzcc7ubgrGTMma7T0bEKn8JNHPStZB3PMR4XVdsCAKfykf-CiBfsZBbYvSXaXC9YJMxiIMrF-epJ_1I-f4Mu1OzDl1FlXjWu1R_kLrmzNymh7aL5CrNKSBtG0A=w408-h306-k-no,,https://www.google.com/maps/search/?api=1&query=Jetavarna%20Mahabihar&query_place_id=ChIJyS3XDqUa6zkRHh7SuL7ECyY
Dolma sungjon.. pilgrimage site Ladakh,Buddhist temple,Buddhist temple,"MCFM+XP6 Kwathandau Tole, Bhaktapur 44800, Nepal",Bhaktapur,27.6749099,85.4342562,5,1,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy2OUqHXbFa014-9Km__v1wShP-jVFpk3LjMZlJEhAo9UwsSuXERcLOM2kR46fN9_ENb9_3j1sdUL0Dh__MjXAOV7i3xaJfegNHWTm43sxoyE77v1Sh_W-84mmkA8AKetIaR3rUTg=w408-h725-k-no,,https://www.google.com/maps/search/?api=1&query=Dolma%20sungjon..%20pilgrimage%20site%20Ladakh&query_place_id=ChIJszoTVbcb6zkR8jOmovNxcpE
Shree Indravarta Mahabihar.,Buddhist temple,Buddhist temple,"MCCM+VM9, Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6721575,85.4342336,4.8,6,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSznNcDH5DXL82nU1hqEPXkejbI6NovBCX-HqkQu2lFYn4EaOmx48oszV-vy8yHKettWm-fqQ-KUX-WOna9KIL5Yxc4XmhDjyeoqAu8DOItco_XkNlUtYl7d-OqpagK5fv8eyyvS=w408-h543-k-no,,https://www.google.com/maps/search/?api=1&query=Shree%20Indravarta%20Mahabihar.&query_place_id=ChIJu6Rlu60a6zkRHYsa1ta6cb8
Mangal Dharma Dip Gumba,Buddhist temple,Buddhist temple,"MCGP+922 Kwathandau Tole, Bhaktapur 44800, Nepal",Bhaktapur,27.6759009,85.4350471,5,1,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw4F-5cW7PNxIbO7jvQbJbD5ID6KGmE3p-unUyhirkgYcsS1dSStR0J0kaHJZhFSbQqB6mE23OYwFfqvRZ1JRDmsIcyj5QMxpCm4f9mPrWJ3-lPubrRoOiFdUKQMSWfe0_i15j4vw=w408-h306-k-no,,https://www.google.com/maps/search/?api=1&query=Mangal%20Dharma%20Dip%20Gumba&query_place_id=ChIJLdZnLXwb6zkRZKfqgdhEZaE
Hunman tol bhaktpur,Buddhist temple,Buddhist temple,"MCFG+WX2, Bhaktapur 44800, Nepal",Bhaktapur,27.674766,85.4273979,0,0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=y_M10KsmajGRI-lSxwUKMw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=136.01321&pitch=0&thumbfov=100,,https://www.google.com/maps/search/?api=1&query=Hunman%20tol%20bhaktpur&query_place_id=ChIJhx-ROwAb6zkRW7knMUcfjyo
金刚萨垛,Buddhist temple,Buddhist temple,"MCFM+WGR, Bhaktapur 44800, Nepal",Bhaktapur,27.674726,85.433739,0,0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JoVBqOPKWUzadqlnzyQxxg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=128.36565&pitch=0&thumbfov=100,,https://www.google.com/maps/search/?api=1&query=%E9%87%91%E5%88%9A%E8%90%A8%E5%9E%9B&query_place_id=ChIJrfk75Nkb6zkR3WmGwR575Ow
Lokeshvara Vihara श्री पद्मपाणी लोकेश्वोर,Buddhist temple,Buddhist temple,"MCCG+V69, इताहे मार्ग, Bhaktapur 44800, Nepal",Bhaktapur,27.6721547,85.4255997,4.3,4,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFmSqy-nnjOqVSJKQIT4g9OPHa7uXZho4wc-RzvjzEX0I96FnYsLcl7qJcDguO22IUbNtaF3xlh3icpSzZFWkxGSdxwr-FvgMrAaFzhwWb2Y0cZdxFL8DVoLUPSjckdHC6PE4XvYFUvUBEd49VAnL-uHEEMdCXzglwVI4ucSYUq1C8jqdxg7YBzOvJu9dioXYIotGI=w408-h306-k-no,,https://www.google.com/maps/search/?api=1&query=Lokeshvara%20Vihara%20%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80%20%E0%A4%AA%E0%A4%A6%E0%A5%8D%E0%A4%AE%E0%A4%AA%E0%A4%BE%E0%A4%A3%E0%A5%80%20%E0%A4%B2%E0%A5%8B%E0%A4%95%E0%A5%87%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A5%8B%E0%A4%B0&query_place_id=ChIJh_kYFKUa6zkRUcxt8uBRlJA
Kutu Bahi कुटु बही (शुक्रवर्ण महाबिहार),Buddhist temple,Buddhist temple,"MCCF+M5W, Bhaktapur 44800, Nepal",Bhaktapur,27.671741,85.4229682,4.3,9,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxMNHMhTdBlthljhipoI-XKTflBwqvijRUYerWT-znoPedzdCCcrHTKQhH3OA6juRWvjUTSwb7Xku_mkx0LQATVXSfphpbXOsoTmquzYFLLKjqXWSdCVLXkJr_9FSwKJ-ctiSLF=w426-h240-k-no,,https://www.google.com/maps/search/?api=1&query=Kutu%20Bahi%20%E0%A4%95%E0%A5%81%E0%A4%9F%E0%A5%81%20%E0%A4%AC%E0%A4%B9%E0%A5%80%20(%E0%A4%B6%E0%A5%81%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%A3%20%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%AC%E0%A4%BF%E0%A4%B9%E0%A4%BE%E0%A4%B0)&query_place_id=ChIJY2MZkaQa6zkRXq5Vj4iE-Pk
Dawasumba buddhist temple,Buddhist temple,Buddhist temple,"MCFM+WQR, Kwathandau Tole, Bhaktapur 44800, Nepal",Bhaktapur,27.6748736,85.4343951,0,0,,,https://www.google.com/maps/search/?api=1&query=Dawasumba%20buddhist%20temple&query_place_id=ChIJhzWDScQb6zkRfhHh2VYEjDg
Tara Devi temple,Buddhist temple,Buddhist temple,"MCFM+XP3, Bhaktapur 44800, Nepal",Bhaktapur,27.6749118,85.4343539,5,8,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwaukJsU_l1f6_vJ03b3RoMwW4H2dWRZN5dxyOkEHK_I-wM6RwKImXQ3xLA4uxzjqEN8yuhC6rjDCGxH7FzBry1Cl8-nw4KVyEhvkDk1-_-J8K7S73HewASJyrr55Dt3iGULdAB8g=w408-h572-k-no,,https://www.google.com/maps/search/?api=1&query=Tara%20Devi%20temple&query_place_id=ChIJdc-z7r8b6zkRWXm8BwLvaG8
Boudha,Buddhist temple,Buddhist temple,"P92J+J8M, Kageshwori Manohara 44600, Nepal",Kageshwori Manohara,27.7015916,85.3807886,5,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pS79C_Nh6NHzLvq_rGSc7Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=350.27304&pitch=0&thumbfov=100,,https://www.google.com/maps/search/?api=1&query=Boudha&query_place_id=ChIJY_frPgAb6zkREAPorj6CGjI
Nagadesh Buddha Vihar,Buddhist temple,Buddhist temple,"M9PJ+4Q3 Nagadesh Buddha Bihar, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6852648,85.3819106,4.5,58,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwdUY4dbqeERT4BdWBWFZT9VLJ84pFvdJZMy3itC4r69aEXQUygLUhv7tiVN5sF0kdygXfCzXyx4Et0gDsSXdYWhkkrgQLrKQq03e8UgHrIlm2rTuZUZge_fqMxL7wtccQIqoJZ=w408-h306-k-no,+977 984-1488329,https://www.google.com/maps/search/?api=1&query=Nagadesh%20Buddha%20Vihar&query_place_id=ChIJdbeQFEIa6zkRd3TOapPriEA
Gungachiwa Buddha Temple,Buddhist temple,Buddhist temple,"M9MP+3W3, Bhaktapur Road, Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.68265,85.387292,4.6,13,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwG52lB6NSSMRCVVYKW1VZ_nQKEHKXHt-5p-a5qlX0t_vLDf7KQ5rORTcxlRdnZKlmxWH9CkacvVmUclHq-73E_o4J9TRJsktapNJ6JCpCz0Ro_63_2LsYDqcShQU6OlnQ8C4T7=w408-h408-k-no,,https://www.google.com/maps/search/?api=1&query=Gungachiwa%20Buddha%20Temple&query_place_id=ChIJXbiXpGca6zkRxmtF0N-vpkA
Pati Bihar,Buddhist temple,Buddhist temple,"M9JQ+RCG, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6820615,85.3885784,4.7,36,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHiuk4qYE8HbA-gLYPFs38hjFp1OREpdupskACJ0aK5OzZk8yLNMz4NaG4bZHKofVT-LG1ci30a73Cjkb5w36OeVm1_cVYIdL4BbFQjKoMS1vqF_8A5rW52CyclYsWwjH0jmZIVl_zRaMtEEI8pM-hz4mwMwsdqM4Ii2RN4YE45t0ESHlBtqmZVYAHwzUc=w408-h306-k-no,+977 1-6211708,https://www.google.com/maps/search/?api=1&query=Pati%20Bihar&query_place_id=ChIJ_e0HqGca6zkRge5--N6jYzI
GANKHU BUDHHA STUPA गाँखु बुद्ध स्तुपा,Buddhist temple,Buddhist temple,"M9PW+6JW, gankhu dharmapur,Madhyapur Thimi muncipality,bhaktapur distric,bagmati zone of, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6856231,85.3965742,3.7,3,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzXddZdN-0rX3XMoUdoAJlIEY7W1zXPVREhP0meeGMi9iyW3LHT_1XtmdeIDd3CBNrkRUG2B__CXkgKaaN2w0-Y8oEo35GzPV68nYhoU3urOPH0zCohwbmOygd2fyTwk4wD_lpcog=w426-h240-k-no,,https://www.google.com/maps/search/?api=1&query=GANKHU%20BUDHHA%20STUPA%20%E0%A4%97%E0%A4%BE%E0%A4%81%E0%A4%96%E0%A5%81%20%E0%A4%AC%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7%20%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%81%E0%A4%AA%E0%A4%BE&query_place_id=ChIJK2DAxREb6zkRqW-9dH7LO84
"Buddha Chowk Marga, Nagadesh",Buddhist temple,Buddhist temple,"M9MH+XXJ, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6850047,85.3798993,5,3,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g2nhJnnc1CFDhLPGiyKmPQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=312.92545&pitch=0&thumbfov=100,,https://www.google.com/maps/search/?api=1&query=Buddha%20Chowk%20Marga%2C%20Nagadesh&query_place_id=ChIJMeBRI7Yb6zkRn3Etp9A_kX0
"Buddha Stupa chawaso, Nagadesh",Buddhist temple,Buddhist temple,"M9MM+QV4, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6843864,85.3847137,4.6,5,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxHQW7L5aVpWgLAUWCUB12qlCQAQHY-D34gohNuUdwAIiS1bqKNdt_67LxQ8Cg3GP1KLpS_5uoMW8wC0WhH2_o3GPPiRGxPutv04KyLsXcPdaORrkHxJbOdVmUjSSeDJUKTZqWm=w408-h612-k-no,+977 984-1430699,https://www.google.com/maps/search/?api=1&query=Buddha%20Stupa%20chawaso%2C%20Nagadesh&query_place_id=ChIJHwZ0oUIa6zkR28nMLjtHB7c
Buddha Chaitya,Buddhist temple,Buddhist temple,"M9JP+VPR, Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.68225,85.3867509,5,1,https://lh3.googleusercontent.com/gps-proxy/ALd4DhG-mPkJebHFriTj4eKAFr1ZmkaK2htkpWAbRt3tzHkNm6RB8G3duAAojLpKYXKa8sN90IkcYjqeiiFPRJ9sYFpQVBJKjls657Y6wgFoze9S5fbCG46pcG8ziP4u7pX4dgVbfImHNYf8PhqouvFeH1tSh8tbsU5Q-iL3XPCk9Gm3_cPaZDpB8MMidZvoPwOOpjrU-U0=w408-h306-k-no,,https://www.google.com/maps/search/?api=1&query=Buddha%20Chaitya&query_place_id=ChIJa7cQuGca6zkRwpd686X6whk
Bhramha nani tol,Buddhist temple,Buddhist temple,"M9JP+4GM, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6803344,85.3863016,5,3,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JgBwnSI0YhhGUuFomreIKw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=0.66995394&pitch=0&thumbfov=100,,https://www.google.com/maps/search/?api=1&query=Bhramha%20nani%20tol&query_place_id=ChIJn7UtJGYa6zkRS7Xgzgr8f2I
Lord Buddha,Buddhist temple,Buddhist temple,"8 Swongapukhu, Bhaktapur 44800, Nepal",Bhaktapur,27.6820847,85.3866318,4,2,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxsQP1kugy_ERDF8b1xHEIoSmj_U5cq7fUnYfPSAjqgoB4LzyqnWMXaeYRK3oCx5VfulGWUjQhlW7y3bPPTtwr8yC0sP2WQ6HhA6nFFsHUCB25Zo3nmYXpTLljAbIDofA4l6RgHE5z9W7Wc=w408-h541-k-no,,https://www.google.com/maps/search/?api=1&query=Lord%20Buddha&query_place_id=ChIJw27kz2ca6zkRvUH3ngeWWuY
𑐐𑐸𑐞 𑐎𑐶𑐬𑑂𑐟𑐶 𑐩𑐴𑐵𑐧𑐶𑐴𑐵𑐬 Guna Kirti Mahabihar,Buddhist temple,Buddhist temple,"M9HP+R9G, Tahanani Road, Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.6795699,85.3859575,4.4,11,https://lh3.googleusercontent.com/gps-proxy/ALd4DhG5P83wOd5_REeZ0ayDrJEyjofQQVLfLqenx9wXT1TXSqbdCg0-U3GBouZX1Yc2IcqTxINnldA7cM_ItYnrhqnl3r1ghyG2pwflsi09JlX-dS7NI8jZuRYCeoYQXN07cykbn94sKQkXTflCSPAN9oC5PWa_95J9v3MzlIXsG2Nyxq66qLdhNHWVpHbaaBK5LWuOTw=w408-h306-k-no,,https://www.google.com/maps/search/?api=1&query=%F0%91%90%90%F0%91%90%B8%F0%91%90%9E%20%F0%91%90%8E%F0%91%90%B6%F0%91%90%AC%F0%91%91%82%F0%91%90%9F%F0%91%90%B6%20%F0%91%90%A9%F0%91%90%B4%F0%91%90%B5%F0%91%90%A7%F0%91%90%B6%F0%91%90%B4%F0%91%90%B5%F0%91%90%AC%20Guna%20Kirti%20Mahabihar&query_place_id=ChIJFwwkHmYa6zkR335zM3Jiv88
Thimi Gunla Baja khala,Buddhist temple,Buddhist temple,"Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6794693,85.3860036,5,2,https://lh3.googleusercontent.com/p/AF1QipOjGmshAllo2I9_wLNn0wUHBIPrfuw6trcovhJu=w408-h306-k-no,,https://www.google.com/maps/search/?api=1&query=Thimi%20Gunla%20Baja%20khala&query_place_id=ChIJDTVvlS0b6zkRUJQf4JZ54ZE
𑐳𑐴𑐱𑑂𑐬𑐨𑐸𑐖 𑐮𑑀𑐎𑐾𑐱𑑂𑐰𑐬 Manjushree,Buddhist temple,Buddhist temple,"M9JM+5GR, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6804895,85.3837643,5,3,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw3OBwVVpHpd4mtuvC3RjtxqMLrwNIOPxPMXuodApzzrwebeEkUu9Jr5xnH03JErhVOn6LqLbi6kDJo-ANQH2YwvUUvapLc78NnN_6QEIgaE7PZ3KVbwbDXepipY8PifijlRqXgVQ=w408-h544-k-no,,https://www.google.com/maps/search/?api=1&query=%F0%91%90%B3%F0%91%90%B4%F0%91%90%B1%F0%91%91%82%F0%91%90%AC%F0%91%90%A8%F0%91%90%B8%F0%91%90%96%20%F0%91%90%AE%F0%91%91%80%F0%91%90%8E%F0%91%90%BE%F0%91%90%B1%F0%91%91%82%F0%91%90%B0%F0%91%90%AC%20Manjushree&query_place_id=ChIJ3YWr5Gga6zkR-Y21LC5a2oc
Kon Chuka,Buddhist temple,Buddhist temple,"M9GP+P8G, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6767515,85.3857006,5,1,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyN7aaEr4Q5vIgmFNiYWdK5BKoixjCgD2lYmXIcVqeJZTG1bsrf5p-78h9fizngTbEtOJwClOwZQmrFu-CL3xLAixf64OBn9eI-KdhAaRB_YDquYCsobyk6rWGa3WO7gia_eVLFFv5DoWB-=w408-h408-k-no,,https://www.google.com/maps/search/?api=1&query=Kon%20Chuka&query_place_id=ChIJTdLuQQAb6zkRfEaT_0HbxmQ
BUDDHA STUPA,Buddhist temple,Buddhist temple,"M9JP+49G, madhyapur Thimi Marg, Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.6803229,85.3859458,4.5,6,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwIQKcPU1badQoKFKcHOdSxoa7P2hMqfYCyS8YufmTbhueVuevZ2-nCTb7cbiyIVvoycncQDHhGvhbSoWVTGkomfYLCihScukw9YIOGbzeYjp4c54NCws_eYccXjcPWRjokIx_H=w408-h283-k-no,,https://www.google.com/maps/search/?api=1&query=BUDDHA%20STUPA&query_place_id=ChIJmQEGrGga6zkRP9slCol7q4k
Chiwaa Dyo,Buddhist temple,Buddhist temple,"M9GP+G79, Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.6762944,85.3857227,5,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=X2tY_xfv5P4yIsfmd2PGbQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=93.49707&pitch=0&thumbfov=100,,https://www.google.com/maps/search/?api=1&query=Chiwaa%20Dyo&query_place_id=ChIJvW56Y28a6zkRUIkg57rzTJA
Soyaumbhu,Buddhist temple,Buddhist temple,"M9X9+287, Kathmandu 44600, Nepal",Kathmandu,27.6975381,85.3682899,4.8,4,,,https://www.google.com/maps/search/?api=1&query=Soyaumbhu&query_place_id=ChIJu2gLMwAb6zkRgPAI9RZ_PzY
neupane niwas,Buddhist temple,Buddhist temple,"M9PP+HHX, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6865495,85.3866087,0,0,,,https://www.google.com/maps/search/?api=1&query=neupane%20niwas&query_place_id=ChIJsz0HLgAb6zkRmZ5tjTcPbDg
